"Taxa","blue","Env","pop1","pop2","pop3","pop4","pop5","pop6","snpPresence","snpAbsence","envE1Presence","envE2Presence","BackgroundPresence","BackgroundAbsence","Phenotype"
1,58.66812265,"Env1",0.528,0.048,0.008,0.394,0.003,0.015,2,0,1,0,0,1,66.5510295825181
5,59.98940552,"Env1",0.018,0.429,0.068,0.055,0.382,0.042,2,0,1,0,0,1,72.6177382325237
6,57.91461163,"Env1",0.073,0.89,0.024,0.004,0.002,0.004,2,0,1,0,0,1,63.1191824514551
7,63.58945971,"Env1",0.013,0.005,0.007,0.172,0.782,0.017,1,1,1,0,0,1,62.6363766229951
8,59.55040864,"Env1",0.005,0.004,0.013,0.192,0.77,0.012,2,0,1,0,0,1,67.2946398405526
10,54.64185504,"Env1",0.014,0.006,0.003,0.006,0.007,0.452,2,0,1,0,0,1,62.2843415116279
11,62.22139134,"Env1",0.003,0.005,0.272,0.004,0.008,0.004,1,1,1,0,0,1,61.1980311279085
12,48.16059552,"Env1",0.965,0.006,0.002,0.002,0.003,0.02,2,0,1,0,1,0,51.9244483959409
14,56.11236766,"Env1",0.949,0.003,0.037,0.005,0.002,0.002,2,0,1,0,1,0,64.5614232498291
18,64.09388159,"Env1",0.003,0.565,0.01,0.023,0.005,0.208,1,1,1,0,0,1,60.7677691850252
19,45.70601293,"Env1",0.686,0.007,0.007,0.005,0.005,0.045,1,1,1,0,1,0,41.8931338985407
20,58.73398034,"Env1",0.002,0.002,0.003,0.002,0.981,0.007,1,1,1,0,0,1,61.4226486017585
22,52.6045866,"Env1",0.694,0.046,0.01,0.011,0.158,0.007,2,0,1,0,1,0,57.7647809022919
25,50.10543997,"Env1",0.898,0.006,0.003,0.003,0.003,0.004,2,0,1,0,1,0,63.2858799812319
26,68.5653625,"Env1",0.038,0.005,0.019,0.008,0.918,0.005,1,1,1,0,0,1,69.8814043325701
28,58.62091806,"Env1",0.906,0.035,0.003,0.003,0.003,0.047,2,0,1,0,1,0,66.3106597937604
29,64.32923089,"Env1",0.008,0.013,0.01,0.002,0.904,0.009,2,0,1,0,0,1,65.8886234724603
30,59.45640936,"Env1",0.015,0.024,0.009,0.005,0.057,0.879,2,0,1,0,0,1,75.4783485969303
31,60.63494715,"Env1",0.003,0.002,0.005,0.032,0.947,0.006,1,1,1,0,0,1,58.1057599299129
32,50.89892271,"Env1",0.442,0.006,0.463,0.077,0.004,0.006,2,0,1,0,0,1,63.6357347026508
35,47.64454275,"Env1",0.363,0.151,0.008,0.003,0.024,0.059,1,1,1,0,1,0,45.4491801029302
37,48.68485143,"Env1",0.982,0.002,0.002,0.002,0.005,0.003,2,0,1,0,1,0,53.5147516506868
38,53.20608033,"Env1",0.585,0.11,0.25,0.004,0.035,0.008,1,1,1,0,0,1,54.7189407367026
41,46.09061113,"Env1",0.03,0.927,0.024,0.002,0.005,0.007,2,0,1,0,0,1,55.2925606758339
43,48.0050489,"Env1",0.567,0.003,0.154,0.004,0.057,0.212,2,0,1,0,0,1,55.0047629583518
44,60.77988184,"Env1",0.12,0.006,0.008,0.008,0.002,0.004,1,1,1,0,0,1,59.2671173467808
45,46.27793766,"Env1",0.068,0.104,0.199,0.005,0.003,0.007,2,0,1,0,0,1,57.8714321346839
46,48.25465194,"Env1",0.043,0.05,0.487,0.024,0.329,0.043,1,1,1,0,0,1,52.4741832091932
47,67.71688211,"Env1",0.002,0.004,0.003,0.003,0.026,0.008,1,1,1,0,1,0,66.6993253338366
48,48.05583743,"Env1",0.952,0.008,0.007,0.01,0.009,0.009,2,0,1,0,1,0,63.1391703171988
52,52.34333125,"Env1",0.002,0.935,0.015,0.005,0.008,0.029,1,1,1,0,0,1,51.4331317168101
53,56.53355809,"Env1",0.371,0.07,0.007,0.002,0.017,0.008,1,1,1,0,1,0,63.1626731252917
55,57.05581093,"Env1",0.949,0.003,0.037,0.005,0.002,0.002,2,0,1,0,1,0,64.339539509993
56,50.04304747,"Env1",0.005,0.794,0.036,0.003,0.021,0.056,1,1,1,0,0,1,54.7964789946669
57,53.25854102,"Env1",0.003,0.895,0.004,0.007,0.005,0.069,1,1,1,0,0,1,53.9156340363215
58,49.34992086,"Env1",0.641,0.187,0.005,0.035,0.004,0.122,1,1,1,0,1,0,48.2511341218601
60,59.61742669,"Env1",0.591,0.02,0.012,0.363,0.003,0.004,1,1,1,0,0,1,59.7397613191411
61,52.54150307,"Env1",0.751,0.041,0.132,0.014,0.048,0.008,2,0,1,0,1,0,59.2334667494493
62,49.63530868,"Env1",0.012,0.01,0.007,0.005,0.891,0.017,2,0,1,0,0,1,55.7403141679769
64,57.55144838,"Env1",0.61,0.01,0.004,0.004,0.025,0.105,2,0,1,0,1,0,63.3290156908619
67,44.82909047,"Env1",0.133,0.594,0.256,0.004,0.004,0.005,1,1,1,0,1,0,51.6456706649604
69,64.38363378,"Env1",0.003,0.013,0.008,0.003,0.667,0.068,2,0,1,0,0,1,74.4383681928317
70,47.26990936,"Env1",0.005,0.98,0.005,0.002,0.002,0.003,1,1,1,0,0,1,43.1922936394068
71,55.36154591,"Env1",0.029,0.15,0.004,0.091,0.711,0.01,2,0,1,0,0,1,71.3797046561659
73,53.12564295,"Env1",0.752,0.003,0.032,0.203,0.003,0.002,2,0,1,0,1,0,62.9609543180738
74,49.26996516,"Env1",0.011,0.004,0.961,0.002,0.003,0.016,1,1,1,0,0,1,52.6330849902881
75,50.60863293,"Env1",0.005,0.003,0.004,0.914,0.004,0.056,2,0,1,0,0,1,55.7464951985506
76,53.65198057,"Env1",0.458,0.014,0.004,0.03,0.059,0.426,1,1,1,0,0,1,51.8767163002672
77,63.70369483,"Env1",0.009,0.003,0.961,0.002,0.011,0.004,2,0,1,0,0,1,65.7950804627064
78,62.14795099,"Env1",0.009,0.427,0.006,0.003,0.026,0.034,1,1,1,0,0,1,71.8564734672634
79,64.94962621,"Env1",0.009,0.004,0.004,0.002,0.881,0.043,2,0,1,0,0,1,78.1571359138645
82,71.04654606,"Env1",0.002,0.002,0.003,0.002,0.002,0.006,2,0,1,0,0,1,77.3731543741799
83,52.05267388,"Env1",0.964,0.003,0.004,0.021,0.002,0.003,1,1,1,0,1,0,54.2811797723097
84,57.38481661,"Env1",0.002,0.002,0.457,0.005,0.527,0.003,2,0,1,0,0,1,65.969086055555
85,50.51348994,"Env1",0.004,0.002,0.01,0.979,0.002,0.002,2,0,1,0,0,1,55.7494692509235
87,70.30214531,"Env1",0.105,0.012,0.035,0.003,0.024,0.004,2,0,1,0,1,0,80.289068247287
88,48.93070704,"Env1",0.746,0.187,0.009,0.005,0.006,0.045,2,0,1,0,1,0,56.3918403032284
89,60.88747804,"Env1",0.002,0.002,0.002,0.002,0.002,0.002,1,1,1,0,0,1,59.2952633341912
90,57.78758472,"Env1",0.975,0.002,0.014,0.002,0.002,0.002,2,0,1,0,1,0,66.8898889183725
91,48.38744826,"Env1",0.003,0.003,0.002,0.002,0.002,0.982,1,1,1,0,0,1,51.5179839692547
92,47.08594765,"Env1",0.985,0.005,0.002,0.002,0.002,0.002,2,0,1,0,1,0,47.5822494811274
93,60.64075967,"Env1",0.002,0.002,0.002,0.989,0.002,0.002,2,0,1,0,0,1,65.2444068116423
94,59.15313845,"Env1",0.007,0.004,0.004,0.03,0.798,0.155,1,1,1,0,0,1,64.7085930939472
95,45.54809247,"Env1",0.504,0.006,0.009,0.006,0.005,0.466,2,0,1,0,1,0,50.3927598179732
96,58.99715449,"Env1",0.009,0.046,0.006,0.003,0.005,0.926,2,0,1,0,0,1,70.7541548925383
97,63.48583681,"Env1",0.003,0.004,0.983,0.004,0.002,0.003,1,1,1,0,0,1,64.1453537396159
98,46.40761191,"Env1",0.093,0.791,0.051,0.016,0.004,0.041,2,0,1,0,0,1,57.2506827753842
99,51.75141,"Env1",0.142,0.481,0.005,0.286,0.005,0.017,2,0,1,0,0,1,63.6008382816526
100,50.2508573,"Env1",0.916,0.006,0.004,0.003,0.004,0.003,1,1,1,0,1,0,47.6493144073115
101,58.08332292,"Env1",0.002,0.006,0.212,0.034,0.01,0.717,2,0,1,0,0,1,64.761325568479
102,51.02294044,"Env1",0.005,0.004,0.003,0.975,0.008,0.004,2,0,1,0,0,1,65.4777255200405
103,65.54319637,"Env1",0.003,0.029,0.007,0.007,0.929,0.016,2,0,1,0,0,1,81.6651796188044
104,57.84485063,"Env1",0.003,0.981,0.003,0.002,0.004,0.004,1,1,1,0,0,1,55.5276947455751
105,54.21555563,"Env1",0.974,0.003,0.002,0.015,0.002,0.002,2,0,1,0,1,0,60.7129229625557
106,58.79205357,"Env1",0.002,0.005,0.004,0.02,0.909,0.055,2,0,1,0,0,1,68.7104642907385
107,47.29646433,"Env1",0.983,0.005,0.002,0.002,0.002,0.002,1,1,1,0,1,0,47.6695540942382
108,50.48762507,"Env1",0.905,0.066,0.009,0.002,0.003,0.01,1,1,1,0,1,0,46.6333540959328
109,59.06215099,"Env1",0.004,0.268,0.105,0.583,0.006,0.032,2,0,1,0,0,1,65.7051321137875
110,48.68767843,"Env1",0.688,0.011,0.004,0.107,0.004,0.172,2,0,1,0,0,1,57.9748864521424
111,65.51690213,"Env1",0.009,0.003,0.003,0.023,0.957,0.003,2,0,1,0,0,1,70.5951140032981
112,57.26454061,"Env1",0.004,0.006,0.006,0.383,0.013,0.103,2,0,1,0,0,1,65.9359293113648
114,50.51061601,"Env1",0.004,0.078,0.898,0.002,0.009,0.004,2,0,1,0,0,1,48.1647258958051
115,66.32561882,"Env1",0.003,0.003,0.002,0.003,0.003,0.008,1,1,1,0,0,1,67.1572518929055
117,48.67667732,"Env1",0.529,0.446,0.002,0.002,0.006,0.005,1,1,1,0,1,0,40.6706987728972
118,46.59120385,"Env1",0.052,0.932,0.003,0.003,0.003,0.005,1,1,1,0,0,1,43.8048805727401
119,51.35269925,"Env1",0.272,0.112,0.041,0.022,0.441,0.108,1,1,1,0,0,1,55.0073181984722
120,71.01621731,"Env1",0.006,0.003,0.245,0.204,0.509,0.008,2,0,1,0,0,1,78.8793197613681
121,59.11322727,"Env1",0.002,0.003,0.004,0.007,0.004,0.003,2,0,1,0,0,1,64.3057190992031
122,62.99044318,"Env1",0.002,0.003,0.98,0.007,0.002,0.005,2,0,1,0,0,1,74.5566656255813
